Airfoil,Efficiency
m12.dat,86.4467
m11.dat,81.7871
mh104.dat,78.6843
m6.dat,78.5215
m685.dat,71.8146
m5.dat,71.4937
marske1.dat,65.3103
m10.dat,64.3419
m4.dat,63.6830
m665.dat,63.1082
marske4.dat,58.9839
marske3.dat,56.7896
marske2.dat,55.1565
lwk79100.dat,53.5479
marske5.dat,53.3902
m1.dat,45.3530
m2.dat,43.5942
m3.dat,42.1418
m26.dat,39.8829
lwk80120k25.dat,37.6858
m19.dat,17.2302
m25.dat,13.5675
m23.dat,11.5861
m16.dat,10.3268
m22.dat,8.8789
mh114.dat,186.5515
mh112.dat,178.6925
mh113.dat,178.3371
mh115.dat,176.2996
mh116.dat,151.4250
mh38.dat,148.3219
mh122.dat,143.8346
mh18.dat,110.9364
mh201.dat,109.2496
mh200.dat,101.9912
mh83.dat,123.8732
mh84.dat,120.3137
mh121.dat,115.6361
mh70.dat,108.0236
mh117.dat,105.9617
mh32.dat,97.8637
mh82.dat,97.4071
mh120.dat,92.2133
mh81.dat,91.7678
mh42.dat,88.0439
mh20.dat,84.8816
mh60.dat,83.0367
mh44.dat,81.8740
mh61.dat,81.4933
mh43.dat,81.2770
mh126.dat,80.2211
mh62.dat,79.9533
mh80.dat,79.6075
mh30.dat,77.8519
mh64.dat,76.4868
mh23.dat,69.0646
mh33.dat,65.9222
mh22.dat,65.0096
mh24.dat,61.2371
mh25.dat,61.2125
mh26.dat,59.4498
mh91.dat,56.6251
mh27.dat,52.0131
mh78.dat,50.0648
griffith30SymSuction.dat,10.0473
ua79sfm.dat,312.1697
nlf1015.dat,195.8386
n1h15.dat,164.5075
nlf0215f.dat,156.9833
n22.dat,137.7498
n11h9.dat,134.4419
nn7mk20.dat,132.7443
n11.dat,132.7170
n24.dat,129.9367
n10.dat,124.0193
miley.dat,123.2885
mrc-16.dat,122.0160
n642415.dat,119.2844
n63415.dat,117.2408
mue139.dat,116.9714
nlf416.dat,116.9697
oaf095.dat,115.7166
mrc-20.dat,110.6701
nlf415.dat,109.8654
n63412.dat,105.1221
n6409.dat,99.8642
n2415.dat,92.1846
n63215.dat,87.0321
ms313.dat,82.4858
n2414.dat,82.1140
ms317.dat,78.9499
n63212.dat,72.1972
n64212ma.dat,69.9584
n64212mb.dat,68.3490
n63215b.dat,66.8431
mh94.dat,65.6053
mh95.dat,64.9723
n5h15.dat,63.5764
n5h20.dat,63.4757
n64212.dat,63.3995
mi-vawt1.dat,55.8323
n63210.dat,55.4904
n0009sm.dat,53.7669
n63015a.dat,51.5089
n5h10.dat,49.8898
n0012.dat,49.6040
n64015.dat,48.9549
n64108.dat,48.4702
n2h15.dat,47.6480
n64015a.dat,46.9523
n13.dat,45.3382
n63012a.dat,43.9595
n64110.dat,43.4892
n63010a.dat,43.2623
n64012.dat,43.2021
n64012a.dat,42.1983
n14.dat,41.3368
n64008a.dat,39.9209
